season;round;date;time;location;team1;team2;result1;result2;attendance
1992-1993;15.0;1992.11.28;13:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Vasas-Smirnoff;1.0;0.0;2000.0
1992-1993;15.0;1992.11.28;13:00;Kórház utcai Stadion;Békéscsabai Előre FC;Csepel SC;1.0;1.0;3500.0
1992-1993;15.0;1992.11.28;13:00;Városi Stadion;Veszprém LC;Budapesti VSC-Novép;0.0;1.0;1500.0
1992-1993;15.0;1992.11.28;13:00;PMSC Stadion;Pécsi Munkás SC;Vác FC-Samsung;0.0;1.0;4000.0
1992-1993;15.0;1992.11.28;15:00;Rába ETO Stadion;Győri Rába ETO SC;MTK;1.0;1.0;3000.0
1992-1993;15.0;1992.11.28;15:00;Üllői úti Stadion;Ferencvárosi TC;Nyíregyházi VSC;1.0;0.0;10000.0
1992-1993;15.0;1992.11.30;19:00;Megyeri úti Stadion;Újpesti TE;Videoton-Waltham FC;0.0;1.0;2000.0
1992-1993;14.0;1992.11.21;13:00;Ligeti Stadion;Vác FC-Samsung;Újpesti TE;1.0;1.0;3000.0
1992-1993;14.0;1992.11.21;15:00;Fáy utcai Stadion;Vasas-Smirnoff;Pécsi Munkás SC;3.0;1.0;3000.0
1992-1993;14.0;1992.11.21;16:00;Sóstói Stadion;Videoton-Waltham FC;Ferencvárosi TC;3.0;2.0;18000.0
1992-1993;14.0;1992.11.21;16:00;Béke téri Stadion;Csepel SC;Kispest-Honvéd FC;1.0;2.0;4500.0
1992-1993;14.0;1992.11.22;11:00;Hungária körúti Stadion;MTK;Siófoki Bányász SE;3.0;0.0;1200.0
1992-1993;14.0;1992.11.22;13:00;Diósgyőri Stadion;Diósgyőri FC;Veszprém LC;1.0;1.0;8000.0
1992-1993;14.0;1992.11.22;13:00;Szőnyi úti Stadion;Budapesti VSC-Novép;Győri Rába ETO SC;0.0;1.0;600.0
1992-1993;14.0;1992.11.22;13:00;Városi Stadion;Nyíregyházi VSC;Békéscsabai Előre FC;0.0;1.0;3000.0
1992-1993;13.0;1992.11.14;12:00;Kórház utcai Stadion;Békéscsabai Előre FC;Videoton-Waltham FC;2.0;2.0;4000.0
1992-1993;13.0;1992.11.14;12:30;Rába ETO Stadion;Győri Rába ETO SC;Diósgyőri FC;1.0;0.0;2000.0
1992-1993;13.0;1992.11.14;12:30;Bozsik Stadion;Kispest-Honvéd FC;Veszprém LC;4.0;2.0;4000.0
1992-1993;13.0;1992.11.14;12:30;Révész Géza utcai Stadion;Siófoki Bányász SE;Budapesti VSC-Novép;0.0;0.0;1500.0
1992-1993;13.0;1992.11.14;13:00;PMSC Stadion;Pécsi Munkás SC;MTK;0.0;0.0;3000.0
1992-1993;13.0;1992.11.14;13:00;Béke téri Stadion;Csepel SC;Nyíregyházi VSC;3.0;1.0;1000.0
1992-1993;13.0;1992.11.14;14:30;Üllői úti Stadion;Ferencvárosi TC;Vác FC-Samsung;0.0;1.0;15000.0
1992-1993;13.0;1992.11.14;17:00;Megyeri úti Stadion;Újpesti TE;Vasas-Smirnoff;2.0;2.0;3000.0
1992-1993;12.0;1992.10.31;11:00;Ligeti Stadion;Vác FC-Samsung;Békéscsabai Előre FC;2.0;0.0;1500.0
1992-1993;12.0;1992.10.31;11:00;Városi Stadion;Veszprém LC;Győri Rába ETO SC;1.0;0.0;2000.0
1992-1993;12.0;1992.10.31;14:00;Fáy utcai Stadion;Vasas-Smirnoff;Ferencvárosi TC;0.0;3.0;8000.0
1992-1993;12.0;1992.10.31;16:00;Sóstói Stadion;Videoton-Waltham FC;Csepel SC;0.0;1.0;5000.0
1992-1993;12.0;1992.11.01;11:00;Hungária körúti Stadion;MTK;Újpesti TE;1.0;0.0;5000.0
1992-1993;12.0;1992.11.01;13:00;Városi Stadion;Nyíregyházi VSC;Kispest-Honvéd FC;0.0;2.0;6000.0
1992-1993;12.0;1992.11.01;13:00;Szőnyi úti Stadion;Budapesti VSC-Novép;Pécsi Munkás SC;2.0;1.0;1000.0
1992-1993;12.0;1992.11.01;13:00;Diósgyőri Stadion;Diósgyőri FC;Siófoki Bányász SE;1.0;0.0;10000.0
1992-1993;11.0;1992.10.24;13:00;Városi Stadion;Nyíregyházi VSC;Videoton-Waltham FC;0.0;1.0;6000.0
1992-1993;11.0;1992.10.24;13:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Veszprém LC;0.0;1.0;3000.0
1992-1993;11.0;1992.10.24;13:00;PMSC Stadion;Pécsi Munkás SC;Diósgyőri FC;1.0;2.0;4000.0
1992-1993;11.0;1992.10.24;13:00;Megyeri úti Stadion;Újpesti TE;Budapesti VSC-Novép;1.0;3.0;2000.0
1992-1993;11.0;1992.10.24;13:00;Bozsik Stadion;Kispest-Honvéd FC;Győri Rába ETO SC;1.0;0.0;4500.0
1992-1993;11.0;1992.10.24;13:00;Béke téri Stadion;Csepel SC;Vác FC-Samsung;0.0;2.0;2000.0
1992-1993;11.0;1992.10.24;13:00;Kórház utcai Stadion;Békéscsabai Előre FC;Vasas SC;0.0;0.0;8000.0
1992-1993;11.0;1992.10.24;15:30;Üllői úti Stadion;Ferencvárosi TC;MTK;1.0;0.0;10000.0
1992-1993;10.0;1992.10.16;16:00;Fáy utcai Stadion;Vasas SC;Csepel SC;1.0;0.0;4000.0
1992-1993;10.0;1992.10.17;13:30;Városi Stadion;Veszprém LC;Pécsi Munkás SC;1.0;1.0;3000.0
1992-1993;10.0;1992.10.17;13:30;Ligeti Stadion;Vác FC-Samsung;Nyíregyházi VSC;1.0;0.0;3000.0
1992-1993;10.0;1992.10.17;13:30;Népstadion;Budapesti VSC-Novép;Ferencvárosi TC;0.0;1.0;4000.0
1992-1993;10.0;1992.10.17;13:30;Diósgyőri Stadion;Diósgyőri FC;Újpesti TE;3.0;3.0;8000.0
1992-1993;10.0;1992.10.17;17:00;Sóstói Stadion;Videoton-Waltham FC;Kispest-Honvéd FC;0.0;0.0;13000.0
1992-1993;10.0;1992.10.17;17:00;Rába ETO Stadion;Győri Rába ETO SC;Siófoki Bányász SE;2.0;2.0;3500.0
1992-1993;10.0;1992.10.18;11:00;Hungária körúti Stadion;MTK;Békéscsabai Előre FC;2.0;3.0;2000.0
1992-1993;9.0;1992.10.07;14:00;Kórház utcai Stadion;Békéscsabai Előre FC;Budapesti VSC-Novép;2.0;0.0;3000.0
1992-1993;9.0;1992.10.07;14:00;Városi Stadion;Nyíregyházi VSC;Vasas SC;1.0;1.0;7000.0
1992-1993;9.0;1992.10.07;14:00;PMSC Stadion;Pécsi Munkás SC;Győri Rába ETO SC;3.0;1.0;4000.0
1992-1993;9.0;1992.10.07;16:00;Béke téri Stadion;Csepel SC;MTK;2.0;1.0;3000.0
1992-1993;9.0;1992.10.07;18:00;Üllői úti Stadion;Ferencvárosi TC;Diósgyőri FC;3.0;1.0;10000.0
1992-1993;9.0;1992.10.07;18:00;Megyeri úti Stadion;Újpesti TE;Veszprém LC;3.0;2.0;1500.0
1992-1993;9.0;1992.10.07;18:00;Sóstói Stadion;Videoton-Waltham FC;Vác FC-Samsung;4.0;2.0;7500.0
1992-1993;9.0;1992.10.07;18:00;Bozsik Stadion;Kispest-Honvéd FC;Siófoki Bányász SE;2.0;1.0;5000.0
1992-1993;8.0;1992.10.02;16:30;Fáy utcai Stadion;Vasas SC;Videoton-Waltham FC;1.0;1.0;4000.0
1992-1993;8.0;1992.10.03;14:00;Ligeti Stadion;Vác FC-Samsung;Kispest-Honvéd FC;2.0;0.0;7000.0
1992-1993;8.0;1992.10.03;17:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Pécsi Munkás SC;1.0;0.0;3000.0
1992-1993;8.0;1992.10.04;11:00;Hungária körúti Stadion;MTK;Nyíregyházi VSC;4.0;0.0;3000.0
1992-1993;8.0;1992.10.04;14:00;Betka-MÁV DAC-pálya;Győri Rába ETO SC;Újpesti TE;2.0;1.0;6000.0
1992-1993;8.0;1992.10.04;14:00;Diósgyőri Stadion;Diósgyőri FC;Békéscsabai Előre FC;1.0;1.0;9000.0
1992-1993;8.0;1992.10.04;14:00;Városi Stadion;Veszprém LC;Ferencvárosi TC;0.0;3.0;8000.0
1992-1993;8.0;1992.10.04;14:00;Szőnyi úti Stadion;Budapesti VSC-Novép;Csepel SC;3.0;1.0;1000.0
1992-1993;7.0;1992.09.26;16:00;Városi Stadion;Nyíregyházi VSC;Budapesti VSC-Novép;1.0;1.0;8000.0
1992-1993;7.0;1992.09.26;16:00;Kórház utcai Stadion;Békéscsabai Előre FC;Veszprém LC;4.0;2.0;4000.0
1992-1993;7.0;1992.09.26;16:00;Ligeti Stadion;Vác FC-Samsung;Vasas SC;0.0;1.0;5000.0
1992-1993;7.0;1992.09.26;16:00;Bozsik Stadion;Kispest-Honvéd FC;Pécsi Munkás SC;3.0;1.0;4000.0
1992-1993;7.0;1992.09.26;18:00;Megyeri úti Stadion;Újpesti TE;Siófoki Bányász SE;3.0;1.0;3500.0
1992-1993;7.0;1992.09.26;18:00;Sóstói Stadion;Videoton-Waltham FC;MTK;4.0;2.0;5000.0
1992-1993;7.0;1992.09.26;19:00;Üllői úti Stadion;Ferencvárosi TC;Győri Rába ETO SC;2.0;2.0;16000.0
1992-1993;7.0;1992.09.27;11:00;Béke téri Stadion;Csepel SC;Diósgyőri FC;1.0;1.0;3000.0
1992-1993;6.0;1992.09.19;16:00;Városi Stadion;Veszprém LC;Csepel SC;1.0;2.0;3000.0
1992-1993;6.0;1992.09.19;16:00;Szőnyi úti Stadion;Budapesti VSC-Novép;Videoton-Waltham FC;2.0;1.0;2500.0
1992-1993;6.0;1992.09.19;16:00;Diósgyőri Stadion;Diósgyőri FC;Nyíregyházi VSC;1.0;0.0;10000.0
1992-1993;6.0;1992.09.19;16:00;PMSC Stadion;Pécsi Munkás SC;Újpesti TE;1.0;0.0;10000.0
1992-1993;6.0;1992.09.19;18:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Ferencvárosi TC;1.0;2.0;10000.0
1992-1993;6.0;1992.09.19;18:00;Rába ETO Stadion;Győri Rába ETO SC;Békéscsabai Előre FC;0.0;0.0;4000.0
1992-1993;6.0;1992.09.19;18:00;Bozsik Stadion;Kispest-Honvéd FC;Vasas SC;2.0;1.0;9000.0
1992-1993;6.0;1992.09.20;11:00;Hungária körúti Stadion;MTK;Vác FC-Samsung;2.0;3.0;5000.0
1992-1993;5.0;1992.09.11;16:30;Fáy utcai Stadion;Vasas SC;MTK;1.0;1.0;5000.0
1992-1993;5.0;1992.09.12;16:30;Ligeti Stadion;Vác FC-Samsung;Budapesti VSC-Novép;3.0;1.0;4000.0
1992-1993;5.0;1992.09.12;16:30;Városi Stadion;Nyíregyházi VSC;Veszprém LC;2.0;1.0;8000.0
1992-1993;5.0;1992.09.12;16:30;Kórház utcai Stadion;Békéscsabai Előre FC;Siófoki Bányász SE;1.0;2.0;4500.0
1992-1993;5.0;1992.09.12;16:30;Bozsik Stadion;Kispest-Honvéd FC;Újpesti TE;1.0;1.0;8000.0
1992-1993;5.0;1992.09.12;19:00;Üllői úti Stadion;Ferencvárosi TC;Pécsi Munkás SC;0.0;2.0;18000.0
1992-1993;5.0;1992.09.12;19:00;Sóstói Stadion;Videoton-Waltham FC;Diósgyőri FC;3.0;0.0;3000.0
1992-1993;5.0;1992.09.13;11:00;Béke téri Stadion;Csepel SC;Győri Rába ETO SC;1.0;1.0;3000.0
1992-1993;4.0;1992.09.02;16:30;PMSC Stadion;Pécsi Munkás SC;Békéscsabai Előre FC;2.0;0.0;5000.0
1992-1993;4.0;1992.09.02;16:30;Diósgyőri Stadion;Diósgyőri FC;Vác FC-Samsung;2.0;1.0;10000.0
1992-1993;4.0;1992.09.02;16:30;Városi Stadion;Veszprém LC;Videoton-Waltham FC;2.0;1.0;4000.0
1992-1993;4.0;1992.09.02;16:30;Szőnyi úti Stadion;Budapesti VSC-Novép;Vasas SC;0.0;1.0;4000.0
1992-1993;4.0;1992.09.02;19:00;Megyeri úti Stadion;Újpesti TE;Ferencvárosi TC;0.0;0.0;25000.0
1992-1993;4.0;1992.09.02;19:00;Hungária körúti Stadion;MTK;Kispest-Honvéd FC;2.0;1.0;5000.0
1992-1993;4.0;1992.09.02;19:00;Rába ETO Stadion;Győri Rába ETO SC;Nyíregyházi VSC;0.0;0.0;4000.0
1992-1993;4.0;1992.09.02;19:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Csepel SC;1.0;0.0;4000.0
1992-1993;3.0;1992.08.28;16:30;Fáy utcai Stadion;Vasas SC;Diósgyőri FC;3.0;2.0;4000.0
1992-1993;3.0;1992.08.29;15:30;Népstadion;Kispest-Honvéd FC;Ferencvárosi TC;0.0;1.0;8000.0
1992-1993;3.0;1992.08.29;17:00;Ligeti Stadion;Vác FC-Samsung;Veszprém LC;4.0;0.0;2000.0
1992-1993;3.0;1992.08.29;17:00;Városi Stadion;Nyíregyházi VSC;Siófoki Bányász SE;3.0;2.0;13000.0
1992-1993;3.0;1992.08.29;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Újpesti TE;2.0;0.0;6000.0
1992-1993;3.0;1992.08.29;19:00;Hungária körúti Stadion;MTK;Budapesti VSC-Novép;0.0;0.0;2500.0
1992-1993;3.0;1992.08.29;19:00;Béke téri Stadion;Csepel SC;Pécsi Munkás SC;4.0;1.0;3000.0
1992-1993;3.0;1992.08.29;19:00;Sóstói Stadion;Videoton-Waltham FC;Győri Rába ETO SC;1.0;0.0;3500.0
1992-1993;2.0;1992.08.22;17:00;Diósgyőri Stadion;Diósgyőri FC;MTK;2.0;2.0;8000.0
1992-1993;2.0;1992.08.22;17:00;PMSC Stadion;Pécsi Munkás SC;Nyíregyházi VSC;1.0;0.0;4000.0
1992-1993;2.0;1992.08.22;17:00;Bozsik Stadion;Kispest-Honvéd FC;Budapesti VSC-Novép;3.0;1.0;3000.0
1992-1993;2.0;1992.08.22;17:00;Városi Stadion;Veszprém LC;Vasas SC;0.0;0.0;4000.0
1992-1993;2.0;1992.08.22;19:00;Megyeri úti Stadion;Újpesti TE;Csepel SC;0.0;0.0;4000.0
1992-1993;2.0;1992.08.22;19:00;Rába ETO Stadion;Győri Rába ETO SC;Vác FC-Samsung;1.0;2.0;4000.0
1992-1993;2.0;1992.08.22;19:00;Révész Géza utcai Stadion;Siófoki Bányász SE;Videoton-Waltham FC;2.0;1.0;8000.0
1992-1993;2.0;1992.08.22;19:30;Üllői úti Stadion;Ferencvárosi TC;Békéscsabai Előre FC;2.0;1.0;15000.0
1992-1993;1.0;1992.08.14;16:30;Fáy utcai Stadion;Vasas SC;Győri Rába ETO SC;4.0;1.0;3000.0
1992-1993;1.0;1992.08.14;19:00;Hungária körúti Stadion;MTK;Veszprém LC;4.0;1.0;2500.0
1992-1993;1.0;1992.08.15;17:00;Ligeti Stadion;Vác FC-Samsung;Siófoki Bányász SE;2.0;1.0;4000.0
1992-1993;1.0;1992.08.15;17:00;Városi Stadion;Nyíregyházi VSC;Újpesti TE;1.0;1.0;16000.0
1992-1993;1.0;1992.08.15;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;Kispest-Honvéd FC;2.0;2.0;10000.0
1992-1993;1.0;1992.08.15;19:00;Béke téri Stadion;Csepel SC;Ferencvárosi TC;0.0;2.0;15000.0
1992-1993;1.0;1992.08.15;19:00;Sóstói Stadion;Videoton-Waltham FC;Pécsi Munkás SC;2.0;1.0;4000.0
1992-1993;1.0;1992.08.16;17:00;Szőnyi úti Stadion;Budapesti VSC-Novép;Diósgyőri FC;0.0;1.0;3000.0
1993-1994;30.0;1994.06.11;11:00;Hungária körúti Stadion;MTK;Vác FC-Samsung;2.0;3.0;1500.0
1993-1994;30.0;1994.06.11;17:00;Rohonci úti Stadion;Haladás VSE;Újpesti TE;3.0;2.0;4000.0
1993-1994;30.0;1994.06.11;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;ETO FC Győr;0.0;1.0;11000.0
1993-1994;30.0;1994.06.11;17:00;Sóstói Stadion;Parmalat FC;Békéscsabai Előre FC;1.0;0.0;3000.0
1993-1994;30.0;1994.06.11;17:00;Fáy utcai Stadion;Vasas-Ilzer;Pécsi MSC-Fordan;2.0;1.0;3000.0
1993-1994;30.0;1994.06.11;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Csepel-Kordax;1.0;1.0;1000.0
1993-1994;30.0;1994.06.11;17:00;Bozsik Stadion;Kispest-Honvéd FC;Siófoki Bányász FC;4.0;2.0;4000.0
1993-1994;30.0;1994.06.11;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Ferencvárosi TC;2.0;0.0;8000.0
1993-1994;29.0;1994.06.04;11:00;Kórház utcai Stadion;Békéscsabai Előre FC;Kispest-Honvéd FC;0.0;1.0;10000.0
1993-1994;29.0;1994.06.04;17:00;PMSC Stadion;Pécsi MSC-Fordan;EMDSZ-Soproni LC;2.0;0.0;4000.0
1993-1994;29.0;1994.06.04;17:00;Győri ETO Stadion;ETO FC Győr;Haladás VSE;2.0;1.0;4000.0
1993-1994;29.0;1994.06.04;17:00;Révész Géza utcai Stadion;Siófoki Bányász FC;MTK;1.0;1.0;2500.0
1993-1994;29.0;1994.06.04;17:00;Béke téri Stadion;Csepel-Kordax;Debreceni Vasutas SC;1.0;3.0;1000.0
1993-1994;29.0;1994.06.04;17:00;Megyeri úti Stadion;Újpesti TE;Budapesti VSC-Dreher;3.0;1.0;4000.0
1993-1994;29.0;1994.06.04;17:00;Üllői úti Stadion;Ferencvárosi TC;Parmalat FC;3.0;0.0;10000.0
1993-1994;29.0;1994.06.04;17:00;Ligeti Stadion;Vác FC-Samsung;Vasas-Ilzer;2.0;2.0;10000.0
1993-1994;28.0;1994.05.28;17:00;Rohonci úti Stadion;Haladás VSE;Pécsi MSC-Fordan;0.0;0.0;5000.0
1993-1994;28.0;1994.05.28;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Vác FC-Samsung;0.0;2.0;10000.0
1993-1994;28.0;1994.05.28;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Újpesti TE;2.0;2.0;6000.0
1993-1994;28.0;1994.05.28;17:00;Sóstói Stadion;Parmalat FC;Csepel-Kordax;3.0;0.0;3000.0
1993-1994;28.0;1994.05.28;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;ETO FC Győr;3.0;0.0;3000.0
1993-1994;28.0;1994.05.28;17:00;Fáy utcai Stadion;Vasas-Ilzer;Siófoki Bányász FC;1.0;1.0;3000.0
1993-1994;28.0;1994.05.28;17:00;Hungária körúti Stadion;MTK;Kispest-Honvéd FC;1.0;4.0;1500.0
1993-1994;28.0;1994.05.28;17:00;Üllői úti Stadion;Ferencvárosi TC;Békéscsabai Előre FC;4.0;2.0;20000.0
1993-1994;27.0;1994.05.21;17:00;PMSC Stadion;Pécsi MSC-Fordan;Budapesti VSC-Dreher;0.0;0.0;5000.0
1993-1994;27.0;1994.05.21;17:00;Megyeri úti Stadion;Újpesti TE;Parmalat FC;2.0;1.0;3000.0
1993-1994;27.0;1994.05.21;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;MTK;2.0;0.0;10000.0
1993-1994;27.0;1994.05.21;17:00;Ligeti Stadion;Vác FC-Samsung;Haladás VSE;2.0;1.0;3000.0
1993-1994;27.0;1994.05.21;19:00;Győri ETO Stadion;ETO FC Győr;Debreceni Vasutas SC;1.0;1.0;6000.0
1993-1994;27.0;1994.05.21;19:00;Révész Géza utcai Stadion;Siófoki Bányász FC;EMDSZ-Soproni LC;0.0;1.0;3000.0
1993-1994;27.0;1994.05.21;19:00;Béke téri Stadion;Csepel-Kordax;Ferencvárosi TC;1.0;2.0;10000.0
1993-1994;27.0;1994.05.21;19:00;Bozsik Stadion;Kispest-Honvéd FC;Vasas-Ilzer;0.0;0.0;4000.0
1993-1994;26.0;1994.05.14;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Kispest-Honvéd FC;0.0;3.0;9000.0
1993-1994;26.0;1994.05.14;19:00;Sóstói Stadion;Parmalat FC;ETO FC Győr;1.0;1.0;4000.0
1993-1994;26.0;1994.05.14;19:00;Üllői úti Stadion;Ferencvárosi TC;Újpesti TE;0.0;1.0;12000.0
1993-1994;26.0;1994.05.14;19:00;Fáy utcai Stadion;Vasas-Ilzer;MTK;2.0;1.0;3000.0
1993-1994;26.0;1994.05.14;19:30;Rohonci úti Stadion;Haladás VSE;Siófoki Bányász FC;0.0;1.0;7000.0
1993-1994;26.0;1994.05.15;17:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Vác FC-Samsung;0.0;0.0;3500.0
1993-1994;26.0;1994.05.15;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Pécsi MSC-Fordan;1.0;1.0;4500.0
1993-1994;26.0;1994.05.16;19:00;Béke téri Stadion;Csepel-Kordax;Békéscsabai Előre FC;2.0;0.0;1500.0
1993-1994;25.0;1994.05.07;11:00;Kórház utcai Stadion;Békéscsabai Előre FC;Vasas-Ilzer;2.0;1.0;9000.0
1993-1994;25.0;1994.05.07;17:00;Ligeti Stadion;Vác FC-Samsung;Debreceni Vasutas SC;2.0;1.0;4000.0
1993-1994;25.0;1994.05.07;17:00;PMSC Stadion;Pécsi MSC-Fordan;Parmalat FC;1.0;0.0;5000.0
1993-1994;25.0;1994.05.07;19:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Budapesti VSC-Dreher;1.0;1.0;2000.0
1993-1994;25.0;1994.05.07;19:00;Bozsik Stadion;Kispest-Honvéd FC;Haladás VSE;0.0;0.0;6000.0
1993-1994;25.0;1994.05.07;19:00;Hungária körúti Stadion;MTK;EMDSZ-Soproni LC;1.0;2.0;1500.0
1993-1994;25.0;1994.05.07;19:00;Győri ETO Stadion;ETO FC Győr;Ferencvárosi TC;3.0;1.0;16000.0
1993-1994;25.0;1994.05.09;19:00;Megyeri úti Stadion;Újpesti TE;Csepel-Kordax;1.0;1.0;1500.0
1993-1994;24.0;1994.04.30;11:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Kispest-Honvéd FC;1.0;4.0;2000.0
1993-1994;24.0;1994.04.30;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;Siófoki Bányász FC;2.0;1.0;5500.0
1993-1994;24.0;1994.04.30;17:00;Megyeri úti Stadion;Újpesti TE;Békéscsabai Előre FC;1.0;0.0;7000.0
1993-1994;24.0;1994.04.30;17:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Vasas-Ilzer;1.0;3.0;8000.0
1993-1994;24.0;1994.04.30;19:00;Béke téri Stadion;Csepel-Kordax;ETO FC Győr;1.0;2.0;2000.0
1993-1994;24.0;1994.04.30;19:00;Üllői úti Stadion;Ferencvárosi TC;Pécsi MSC-Fordan;3.0;0.0;8000.0
1993-1994;24.0;1994.04.30;19:00;Sóstói Stadion;Parmalat FC;Vác FC-Samsung;0.0;1.0;4000.0
1993-1994;24.0;1994.04.30;19:30;Rohonci úti Stadion;Haladás VSE;MTK;1.0;1.0;8000.0
1993-1994;23.0;1994.04.23;11:00;Ligeti Stadion;Vác FC-Samsung;Ferencvárosi TC;3.0;2.0;6000.0
1993-1994;23.0;1994.04.23;17:00;Kórház utcai Stadion;Békéscsabai Előre FC;EMDSZ-Soproni LC;5.0;2.0;11000.0
1993-1994;23.0;1994.04.23;17:00;PMSC Stadion;Pécsi MSC-Fordan;Csepel-Kordax;1.0;0.0;5000.0
1993-1994;23.0;1994.04.23;18:00;Hungária körúti Stadion;MTK;Budapesti VSC-Dreher;0.0;2.0;1500.0
1993-1994;23.0;1994.04.23;18:00;Bozsik Stadion;Kispest-Honvéd FC;Debreceni Vasutas SC;2.0;1.0;5000.0
1993-1994;23.0;1994.04.23;18:00;Fáy utcai Stadion;Vasas-Ilzer;Haladás VSE;0.0;2.0;3000.0
1993-1994;23.0;1994.04.23;18:00;Győri ETO Stadion;ETO FC Győr;Újpesti TE;2.0;1.0;7000.0
1993-1994;23.0;1994.04.23;18:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Parmalat FC;1.0;3.0;5000.0
1993-1994;22.0;1994.04.16;11:00;Sóstói Stadion;Parmalat FC;Kispest-Honvéd FC;1.0;5.0;3000.0
1993-1994;22.0;1994.04.16;15:00;Szőnyi úti Stadion;Budapesti VSC-Dreher;Vasas-Ilzer;2.0;1.0;3000.0
1993-1994;22.0;1994.04.16;17:00;Megyeri úti Stadion;Újpesti TE;Pécsi MSC-Fordan;3.0;0.0;3000.0
1993-1994;22.0;1994.04.16;17:00;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;MTK;2.0;0.0;6000.0
1993-1994;22.0;1994.04.16;18:00;Győri ETO Stadion;ETO FC Győr;Békéscsabai Előre FC;2.0;5.0;9000.0
1993-1994;22.0;1994.04.16;19:00;Üllői úti Stadion;Ferencvárosi TC;Siófoki Bányász FC;1.0;3.0;12000.0
1993-1994;22.0;1994.04.16;19:00;Béke téri Stadion;Csepel-Kordax;Vác FC-Samsung;1.0;1.0;3000.0
1993-1994;22.0;1994.04.16;19:30;Rohonci úti Stadion;Haladás VSE;EMDSZ-Soproni LC;3.0;1.0;8000.0
1993-1994;21.0;1994.04.09;11:00;PMSC Stadion;Pécsi MSC-Fordan;ETO FC Győr;0.0;0.0;3000.0
1993-1994;21.0;1994.04.09;16:30;Káposztás utcai stadion;EMDSZ-Soproni LC;Budapesti VSC-Dreher;1.0;0.0;7000.0
1993-1994;21.0;1994.04.09;16:30;Ligeti Stadion;Vác FC-Samsung;Újpesti TE;2.0;0.0;6000.0
1993-1994;21.0;1994.04.09;16:30;Fáy utcai Stadion;Vasas SC;Debreceni Vasutas SC;1.0;0.0;4000.0
1993-1994;21.0;1994.04.09;16:30;Kórház utcai Stadion;Békéscsabai Előre FC;Haladás VSE;5.0;1.0;10000.0
1993-1994;21.0;1994.04.09;18:00;Révész Géza utcai Stadion;Siófoki Bányász FC;Csepel-Kordax;1.0;1.0;2500.0
1993-1994;21.0;1994.04.10;11:00;Hungária körúti Stadion;MTK;Parmalat FC;1.0;1.0;1500.0
1993-1994;21.0;1994.04.11;19:00;Bozsik Stadion;Kispest-Honvéd FC;Ferencvárosi TC;1.0;0.0;18000.0
1993-1994;20.0;1994.04.02;16:30;PMSC Stadion;Pécsi MSC-Fordan;Békéscsabai Előre FC;0.0;2.0;5000.0
1993-1994;20.0;1994.04.02;16:30;Oláh Gábor utcai Stadion;Debreceni Vasutas SC;EMDSZ-Soproni LC;0.0;0.0;5000.0
1993-1994;20.0;1994.04.02;17:00;Megyeri úti Stadion;Újpesti TE;Siófoki Bányász FC;2.0;1.0;3000.0
1993-1994;20.0;1994.04.02;18:00;Győri ETO Stadion;ETO FC Győr;Vác FC-Samsung;0.0;1.0;5000.0
1993-1994;20.0;1994.04.02;18:30;Sóstói Stadion;Parmalat FC;Vasas SC;1.0;1.0;2000.0
1993-1994;20.0;1994.04.02;18:30;Béke téri Stadion;Csepel-Kordax;Kispest-Honvéd FC;0.0;2.0;6000.0
1993-1994;20.0;1994.04.03;16:30;Szőnyi úti Stadion;Budapesti VSC-Dreher;Haladás VSE;1.0;0.0;1500.0
1993-1994;20.0;1994.04.04;19:00;Üllői úti Stadion;Ferencvárosi TC;MTK;0.0;0.0;9000.0
1993-1994;19.0;1994.03.26;15:00;Káposztás utcai stadion;EMDSZ-Soproni LC;Parmalat FC;1.0;0.0;6000.0
1993-1994;19.0;1994.03.26;15:00;Ligeti Stadion;Vác FC-Samsung;Pécsi MSC-Fordan;1.0;0.0;3000.0
1993-1994;19.0;1994.03.26;15:00;Bozsik Stadion;Kispest-Honvéd FC;Újpesti TE;1.0;1.0;8000.0
